Feature,Importance
num__Efficiency,0.1454490059146983
num__Recycling,0.13687412969070104
num__Cost,0.12457611139431259
num__Population_Density,0.12075089354541799
num__Awareness,0.12013387034651134
num__Landfill_Capacity,0.06881614381775455
num__Year,0.06421626773123697
city__City_Madurai,0.0475575837664293
city__City_Ahmedabad,0.025107493981611308
city__City_Bengaluru,0.016292902194118407
city__City_Hyderabad,0.016260551965256838
city__City_Rajkot,0.014524738629201926
city__City_Jaipur,0.010883308726318179
city__City_Nagpur,0.01014596954462626
city__City_Jabalpur,0.006976099622854149
city__City_Visakhapatnam,0.006559495251736807
city__City_Varanasi,0.00559267007253727
city__City_Kolkata,0.005221459803974694
city__City_Agra,0.004561067946832854
city__City_Jodhpur,0.004300340449229476
city__City_Pune,0.00427592292476766
city__City_Lucknow,0.003739170360460846
city__City_Delhi,0.0029859705952770587
city__City_Meerut,0.002941711678682584
city__City_Guwahati,0.0026741439950069795
city__City_Allahabad,0.0026054478858533394
city__City_Coimbatore,0.002585780043825618
city__City_Nashik,0.0024724754650011505
city__City_Vadodara,0.0022765241781885787
city__City_Gwalior,0.002188588766315491
city__City_Ranchi,0.002107521573389888
city__City_Patna,0.0019762577499993304
city__City_Chennai,0.0017075574962848
city__City_Ludhiana,0.0016153084885718314
city__City_Bhopal,0.00160491073766783
city__City_Thiruvananthapuram,0.0015632326714756608
city__City_Mumbai,0.0015228690012624438
city__City_Surat,0.0014381508607928957
city__City_Indore,0.0012332134856911394
city__City_Amritsar,0.000893619620395337
city__City_Kanpur,0.0007915180257292792
